Key,Type,Desc,Chinese_Simplified [zh-CN],Chinese_Traditional [zh-TW],English,Japanese,Burmese,Sinhala,Thai
FontTest,Font,,Arial,Arial,Arial,Arial,Fonts/Zawgyi-One,Arial,Arial
PopSentenceSelectView_Done,Text,,完成,完成,Done,完了,အဆုံးသတ်,අවසන් කරන්න,เสร็จสิ้น
PopSentenceSelectView_SelectAll,Text,,全部选择,全部選擇,Select all,すべて選択,အားလုံးရွေးချယ်ပါ,සියලුම තේරීම,เลือกทั้งหมด
PopSentenceSelectView_ShareSentence,Text,,逐句分享,逐句分享,Share by sentence,一言ずつ分かち合う,ပြစ်ဒဏ်ဖြင့် ဝေမျှပါ,වාක්‍යයෙන් වාක්‍ය බෙදාගන්න,แบ่งปัน แต่ละบรรทัด
article_Article,Text,,圣典,聖典,Pāli,聖典,မြင့်မြတ်သောကျမ်းစာ,ශුද්ධ පොත,พระคัมภีร์
calendar_BuddhistCalendar,Text,,佛历：,佛曆：,Buddhist Calendar：,仏暦：,ဗုဒ္ဓဝါဒီပြက္ခဒိန်-,බෞද්ධ දින දර්ශනය:,ปฏิทินทางพุทธศาสนา:
calendar_BurmeseCalendar,Text,,缅历,緬曆,Burmese calendar,ビルマ暦,မြန်မာပြက္ခဒိန်,බුරුම දින දර්ශනය,เมนู Name
calendar_ChineseCalendar,Text,,农历,農曆,Chinese calendar,旧暦,လ,චන්ද්ර දිනදර්ශනය,จันทรคติ
calendar_Latitude,Text,,纬度,緯度,Lat,緯度,လတ်လတ်ဆတ်ဆတ်,අක්ෂාංශ,ละติจูด
calendar_Longitude,Text,,经度,經度,Lng,経度,ရှည်လျားမှု,දේශාංශ,ลองติจูด
calendar_Month,Text,,月,月,Month,げつ,လ,සඳ,เดือน
calendar_SolarNoon,Text,,日中：,日中：,SolarNoon：,日中：,ဂျပန်:,ජපානය සහ චීනය:,กลางวัน:
calendar_StarCalendar,Text,,星宿历,星宿曆,Almanac,星曆,နက္ခရှာထရာပြက္ခဒိန်,ජ්යෝතිඃ ශාස්ත්රීය දින දර්ශනය,ปฏิทินจันทรคติ
calendar_Sunrise,Text,,明相：,明相：,Dawn：,日の出：,တောက်ပတဲ့ အဆင့် -,හිරු උදාව:,อากิระ:
calendar_Sunset,Text,,日落：,日落：,Sunset：,日の入り：,နေဝင် - နေဝင် -,හිරු බැස යෑම:,พระอาทิตย์ตก
calendar_ViewToday,Text,,查看今天,查看今天,Today,今日,ယနေ့,අද,วันนี้
calendar_WestCalendar,Text,,西历：,西曆：,Calendar：,西曆：,အနောက်ပြက္ခဒိန်-,බටහිර දින දර්ශනය:,ปฏิทิน:
calendar_Year,Text,,年,年,Year,ねん,နှစ်,අවුරුදු,ปี
calendar_week1,Text,,一,一,Mon,月,တစ်,එක,หนึ่ง.
calendar_week2,Text,,二,二,Tue,火,နှစ်,දෙක,สอง
calendar_week3,Text,,三,三,Wed,水,သုံး,තුන්,สาม
calendar_week4,Text,,四,四,Thu,木,လေး,සිව්,สี่
calendar_week5,Text,,五,五,Fri,金,ငါး,පහ,ห้า
calendar_week6,Text,,六,六,Sat,土,ခြောက်,හය,หก
calendar_week7,Text,,日,日,Sun,日,ရက်နေ့,දවස,วัน
commonGroupView_About_AboutWikipali,Text,,关于wikipāli,關於wikipāli,About wikipāli,wikipāliについて,သက်ဆိုင်မှုwikipāli,විකිපාලි ගැන,เกี่ยวกับวิคิวลิ
commonGroupView_UpdateOfflineP_ChapterCount,Text,,章节数对比：,章節數對比：,Chapter number comparison,章数の比較：,အခန်းကြီးအရေအတွက်ကို နှိုင်းယှဉ်ကြည့်ပါ –,පරිච්ඡේද අංක සංසන්දනය:,ความเปรียบต่างของจำนวนบท:
commonGroupView_UpdateOfflineP_ClickUpdate,Text,,点击下载,點擊下載,Click to download,ダウンロード,ဒေါင်းလုတ်ကိုနှိပ်ပါ,බාගත කිරීමට ක්ලික් කරන්න,คลิกเพื่อดาวน์โหลด
commonGroupView_UpdateOfflineP_CurrTime,Text,,当前离线包更新时间：,當前離線包更新時間：,Current offline data package update time：,現在のオフラインパケット更新時間：,လက်ရှိ အော့ဖ်လိုင်း ပက်ကေ့ခ်ျ အသစ်ချိန် အချိန်,වත්මන් නොබැඳි පැකේජ යාවත්කාලීන කාලය:,เวลา ที่ปรับปรุงแพกเกจแบบออฟไลน์ปัจจุบัน:
