Key,Type,Desc,Chinese_Simplified [zh-CN],Chinese_Traditional [zh-TW],English,Japanese,Burmese,Sinhala,Thai
FontTest,Font,,Arial,Arial,Arial,Arial,Fonts/Zawgyi-One,Arial,Arial
PopSentenceSelectView_Done,Text,,完成,完成,Done,,,,
PopSentenceSelectView_SelectAll,Text,,全部选择,全部選擇,,,,,
PopSentenceSelectView_ShareSentence,Text,,逐句分享,逐句分享,,,,,
article_Article,Text,,圣典,聖典,Scripture,聖典,,,
calendar_BuddhistCalendar,Text,,佛历：,佛曆：,Buddhist Calendar：,仏暦：,,,
calendar_BurmeseCalendar,Text,,缅历,緬曆,Burmese calendar,ビルマ暦,,,
calendar_ChineseCalendar,Text,,农历,農曆,Chinese calendar,旧暦,,,
calendar_Latitude,Text,,纬度,緯度,Lat,緯度,,,
calendar_Longitude,Text,,经度,經度,Lng,経度,,,
calendar_Month,Text,,月,月,Month,げつ,,,
calendar_SolarNoon,Text,,日中：,日中：,SolarNoon：,日中：,,,
calendar_StarCalendar,Text,,星宿历,星宿曆,Almanac,星曆,,,
calendar_Sunrise,Text,,明相：,明相：,Sunrise：,日の出：,,,
calendar_Sunset,Text,,日落：,日落：,Sunset：,日の入り：,,,
calendar_WestCalendar,Text,,西历：,西曆：,Calendar：,西曆：,,,
calendar_Year,Text,,年,年,Year,ねん,,,
calendar_week1,Text,,一,一,Mon,月,,,
calendar_week2,Text,,二,二,Tue,火,,,
calendar_week3,Text,,三,三,Wed,水,,,
calendar_week4,Text,,四,四,Thu,木,,,
calendar_week5,Text,,五,五,Fri,金,,,
calendar_week6,Text,,六,六,Sat,土,,,
calendar_week7,Text,,日,日,Sun,日,,,
commonGroupView_About_AboutWikipali,Text,,关于wikipāli,關於wikipāli,About wikipāli,,,,
commonGroupView_UpdateOfflineP_ChapterCount,Text,,章节数对比：,章節數對比：,,,,,
commonGroupView_UpdateOfflineP_ClickUpdate,Text,,点击下载,點擊下載,,,,,
commonGroupView_UpdateOfflineP_CurrTime,Text,,当前离线包更新时间：,當前離線包更新時間：,Current offline package update time：,現在のオフラインパケット更新時間：,,,
commonGroupView_UpdateOfflineP_NewTime,Text,,最新离线包更新时间：,最新離線包更新時間：,,,,,
commonGroupView_UpdateOfflineP_Reserve space,Text,,更新请预留出3G存储空间,更新請預留出3G存儲空間,,,,,
commonGroupView_UpdateOfflineP_Update,Text,,离线包下载,離線包下載,,,,,
commonGroupView_UpdateVersion_ClickUpdateVersion,Text,,点击更新,點擊更新,,,,,
commonGroupView_UpdateVersion_CurrVersion,Text,,当前版本：,當前版本：,,,,,
commonGroupView_UpdateVersion_NewVersion,Text,,最新版本：,最新版本：,,,,,
commonGroupView_UpdateVersion_UpdateVersion,Text,,版本更新,版本更新,,,,,
dicGroupView_GroupManagement,Text,,分组管理,分組管理,Group management,グルーピング管理,,,
dic_Article,Text,,圣典,聖典,Scripture,聖典,,,
dic_Dict,Text,,单词,單詞,Word,単語,,,
dic_Search,Text,,搜索...,搜索...,Search...,検索...,,,
initView_InitProgress,Text,,初始化进度,初始化進度,,,,,
newArticle_NewArticle,Text,,最新,最新,Latest,新しい,,,
popDragWord_DelimitWords,Text,,划词取义,劃詞取義,Delimit words and take meanings,詞を画いて意味をとる,,,
popView_AddToFavorites,Text,,加入收藏,加入收藏,Add to favorites,コレクションに加えます,,,
popView_Down,Text,,完成,完成,Complete,完成,,,
popView_EditGroup,Text,,编辑分组,編輯分組,Edit grouping,グループを編集,,,
setting_AboutWikipali,Text,,关于wikipali,關於wikipali,About wikipali,wikipaliについて,သက်ဆိုင်မှု wikipali,ගැන wikipali,เกี่ยวกับ wikipali
setting_Feedback,Text,,意见反馈,意見回饋,Feedback,フィードバック,တုံ့ပြန်မှု,ප්රතිපෝෂණ,ความคิดเห็น
setting_Language,Text,,语言,語言,Language,言語,ဘာသာစကား,,ภาษา
setting_LastestVersion,Text,,当前已是最新版本,當前已是最新版本,This is the latest version,Appは最新版です,,,
setting_OfflinePackageDownload,Text,,离线包下载,離線包下載,Offline package download,オフラインパッケージのダウンロード,အော့ဖ်လိုင်း ပက်ကေ့ချ်,නොබැඳි පැකේජ බාගැනීම,ดาวน์โหลดแพกเกจแบบออฟไลน์
setting_OpenPrevBrowse,Text,,打开先前浏览内容,打開先前流覽內容,Open previously viewed content,前のページを開きます,ယခင်က ရှုမြင်ချက်ကို ဖွင့်ပါ,,
setting_PaliNotReadBracket,Text,,pali 不朗读括号内容,pali 不朗讀括弧內容,pali doesn't read in parentheses,paliは括弧を読み上げません,PalI က မိဘတွေကို မဖတ်ဖူးဘူး,,
setting_PaliVoiceStyle,Text,,Pali 朗读风格,Pali 朗讀風格,Pali Voice Style,Pali朗読スタイル,Paliရဲ့ စာဖတ်နည်း,පාලි කියවීමේ විලාසය,รูปแบบการอ่าน
setting_PaliVoiceStyle_Burma,Text,,缅甸风格,緬甸風格,Burmese style,,,,
setting_PaliVoiceStyle_India,Text,,印度风格,印度風格,Indian style,,,,
setting_PaliVoiceType,Text,,Pali 朗读声音,Pali 朗讀聲音,Pali Voice Type,Pali 朗読タイプ,,,
setting_PaliVoiceType_Man0,Text,,男声,男聲,Male voice,男性の声,အထီး,පිරිමි කටහඬ,เสียงผู้ชาย
setting_PaliVoiceType_Woman0,Text,,女声,女聲,Female voice,女性の声,မိန်းကလေး,කාන්තා කටහඬ,เสียงผู้หญิง
setting_ReadSpeed,Text,,朗读语速,朗讀語速,Reading speed,朗読スピード,အသံကျယ်ကျယ်ပြောပါ,කියවීමේ වේගය,อ่านความเร็ว
setting_TransShowPali,Text,,译文显示pali原文,譯文顯示pali原文,Translation shows the original pali,訳文のpaliを示します,ဘာသာပြန်ကျမ်းက မူရင်း ပါလီကို ပြသထား,,
setting_Version,Text,,检查新版本,檢查新版本,Check new version,新しいバージョン,ဘာသာပြန်ကျမ်းအသစ်များကို စစ်ဆေးပါ,නව අනුවාදය සඳහා පරීක්ෂා කරන්න,ตรวจสอบรุ่นใหม่
shareView_ImageSaved,Text,,图片已保存,圖片已保存,,,,,
shareView_ImgTemplate,Text,,图片模板,圖片範本,,,,,
shareView_LogoText,Text,,掌上巴利学习软件,掌上巴利學習軟體,,,,,
shareView_SaveImg,Text,,保存图片,保存圖片,Save Img,,,,
shareView_Share,Text,,分享,分享,Share,,,,
shareView_ShareWord,Text,,分享单词,分享單詞,,,,,
showToastMessage_NoMoreThan3000Word,Text,,字数不能超过3000字,字數不能超過3000字,,,,,
showToastMessage_NoNetwork,Text,,无网络连接,無網路連接,,,,,
showToastMessage_SelectSentence,Text,,请选择分享的句子,請選擇分享的句子,,,,,
user_ArticleCollection,Text,,收藏的圣典,收藏的聖典,The collection of sacred texts,聖典コレクション,,,
user_WordCollection,Text,,单词本,單詞本,Words Collection,単語コレクション,,,
